A0A075B6H9	Immunoglobulin lambda variable 4-69
A0A075B6I0	Immunoglobulin lambda variable 8-61
A0A075B6I1	Immunoglobulin lambda variable 4-60
A0A075B6I4	Immunoglobulin lambda variable 10-54
A0A075B6I9	Immunoglobulin lambda variable 7-46
A0A075B6J1	Immunoglobulin lambda variable 5-37
A0A075B6J6	Immunoglobulin lambda variable 3-22
A0A075B6J9	Immunoglobulin lambda variable 2-18
A0A075B6K0	Immunoglobulin lambda variable 3-16
A0A075B6K2	Immunoglobulin lambda variable 3-12
A0A075B6K4	Immunoglobulin lambda variable 3-10
A0A075B6K5	Immunoglobulin lambda variable 3-9
A0A075B6K6	Immunoglobulin lambda variable 4-3
A0A075B6N1	T cell receptor beta variable 19
A0A075B6N2	T cell receptor beta variable 20-1
A0A075B6P5	Immunoglobulin kappa variable 2-28
A0A075B6Q5	Immunoglobulin heavy variable 3-64
A0A075B6R2	Immunoglobulin heavy variable 4-4
A0A075B6S2	Immunoglobulin kappa variable 2D-29
A0A075B6S4	Immunoglobulin kappa variable 1D-17
A0A075B6S5	Immunoglobulin kappa variable 1-27
A0A075B6S6	Immunoglobulin kappa variable 2D-30
A0A075B6T6	T cell receptor alpha variable 12-2
A0A075B6T7	T cell receptor alpha variable 6
A0A075B6T8	T cell receptor alpha variable 9-1
A0A075B6U4	T cell receptor alpha variable 7
A0A075B6V5	T cell receptor alpha variable 36/delta variable 7
A0A075B6W5	T cell receptor alpha variable 23/delta variable 6
A0A075B6X5	T cell receptor alpha variable 18
A0A075B759	Peptidyl-prolyl cis-trans isomerase A-like 4E
A0A087WSX0	Immunoglobulin lambda variable 5-45
A0A087WSY4	Immunoglobulin heavy variable 4-30-2
A0A087WSY6	Immunoglobulin kappa variable 3D-15
A0A087WSZ0	Immunoglobulin kappa variable 1D-8
A0A087WSZ9	T cell receptor alpha variable 30
A0A087WT01	T cell receptor alpha variable 27
A0A087WT02	T cell receptor alpha variable 9-2
A0A087WT03	T cell receptor alpha variable 26-1
A0A087WTH1	Transmembrane protein 265
A0A087WTH5	Potassium voltage-gated channel subfamily E member 1B
A0A087WUL8	Neuroblastoma breakpoint family member 19
A0A087WV62	T cell receptor beta variable 16
A0A087WVF3	TBC1 domain family member 3D
A0A087WW87	Immunoglobulin kappa variable 2-40
A0A087WX78	Putative elongin-A3 member C
A0A087WXM9	Meiosis-specific kinetochore protein
A0A087WXS9	TBC1 domain family member 3I
A0A087X0M5	T cell receptor beta variable 18
A0A087X179	TBC1 domain family member 3E
A0A087X1C5	Putative cytochrome P450 2D7
A0A087X1G2	TBC1 domain family member 3K
A0A096LNP1	Beta-defensin 131B
A0A096LP01	Small integral membrane protein 26
A0A096LP49	Coiled-coil domain-containing protein 187
A0A096LP55	Cytochrome b-c1 complex subunit 6-like, mitochondrial
A0A096LPI5	Protein GVQW2
A0A0A0MRZ7	Immunoglobulin kappa variable 2D-26
A0A0A0MRZ8	Immunoglobulin kappa variable 3D-11
A0A0A0MRZ9	Immunoglobulin lambda variable 5-52
A0A0A0MS14	Immunoglobulin heavy variable 1-45
A0A0A0MS15	Immunoglobulin heavy variable 3-49
A0A0A0MT36	Immunoglobulin kappa variable 6D-21
A0A0A0MT76	Immunoglobulin lambda joining 1
A0A0A0MT89	Immunoglobulin kappa joining 1
A0A0A6YYC5	T cell receptor alpha variable 14/delta variable 4
A0A0A6YYD4	T cell receptor beta variable 13
A0A0A6YYG2	T cell receptor beta variable 6-6
A0A0A6YYG3	T cell receptor beta variable 6-8
A0A0A6YYJ7	T cell receptor alpha variable 8-3
A0A0A6YYK1	T cell receptor alpha variable 8-1
A0A0A6YYK6	T cell receptor alpha variable 16
A0A0A6YYK7	T cell receptor alpha variable 19
A0A0A6YYL3	POTE ankyrin domain family member B
A0A0B4J1U3	Immunoglobulin lambda variable 1-36
A0A0B4J1U6	T cell receptor beta variable 9
A0A0B4J1U7	Immunoglobulin heavy variable 6-1
A0A0B4J1V0	Immunoglobulin heavy variable 3-15
A0A0B4J1V1	Immunoglobulin heavy variable 3-21
A0A0B4J1V2	Immunoglobulin heavy variable 2-26
A0A0B4J1V6	Immunoglobulin heavy variable 3-73
A0A0B4J1X5	Immunoglobulin heavy variable 3-74
A0A0B4J1X8	Immunoglobulin heavy variable 3-43
A0A0B4J1Y8	Immunoglobulin lambda variable 9-49
A0A0B4J1Y9	Immunoglobulin heavy variable 3-72
A0A0B4J1Z2	Immunoglobulin kappa variable 1D-43
A0A0B4J234	T cell receptor alpha variable 2
A0A0B4J235	T cell receptor alpha variable 13-2
A0A0B4J237	T cell receptor alpha variable 8-2
A0A0B4J238	T cell receptor alpha variable 1-2
A0A0B4J240	T cell receptor alpha variable 10
A0A0B4J241	T cell receptor alpha variable 13-1
A0A0B4J244	T cell receptor alpha variable 3
A0A0B4J245	T cell receptor alpha variable 12-1
A0A0B4J248	T cell receptor alpha variable 1-1
A0A0B4J249	T cell receptor alpha variable 5
A0A0B4J262	T cell receptor alpha variable 8-6
A0A0B4J263	T cell receptor alpha variable 39
A0A0B4J264	T cell receptor alpha variable 38-1
A0A0B4J265	T cell receptor alpha variable 26-2
A0A0B4J266	T cell receptor alpha variable 41
A0A0B4J268	T cell receptor alpha variable 4
A0A0B4J271	T cell receptor alpha variable 12-3
A0A0B4J272	T cell receptor alpha variable 24
A0A0B4J273	T cell receptor alpha variable 34
A0A0B4J274	T cell receptor alpha variable 20
A0A0B4J275	T cell receptor alpha variable 17
A0A0B4J276	T cell receptor alpha variable 25
A0A0B4J277	T cell receptor alpha variable 22
A0A0B4J279	T cell receptor alpha variable 21
A0A0B4J280	T cell receptor alpha variable 40
A0A0B4J2A2	Peptidyl-prolyl cis-trans isomerase A-like 4C
A0A0B4J2D9	Immunoglobulin kappa variable 1D-13
A0A0B4J2E0	T cell receptor beta variable 12-4
A0A0B4J2F0	Protein PIGBOS1
A0A0B4J2F2	Probable serine/threonine-protein kinase SIK1B
A0A0B4J2H0	Immunoglobulin heavy variable 1-69D
A0A0C4DH24	Immunoglobulin kappa variable 6-21
A0A0C4DH25	Immunoglobulin kappa variable 3D-20
A0A0C4DH29	Immunoglobulin heavy variable 1-3
A0A0C4DH31	Immunoglobulin heavy variable 1-18
A0A0C4DH32	Immunoglobulin heavy variable 3-20
A0A0C4DH33	Immunoglobulin heavy variable 1-24
A0A0C4DH34	Immunoglobulin heavy variable 4-28
A0A0C4DH38	Immunoglobulin heavy variable 5-51
A0A0C4DH39	Immunoglobulin heavy variable 1-58
A0A0C4DH41	Immunoglobulin heavy variable 4-61
A0A0C4DH42	Immunoglobulin heavy variable 3-66
A0A0C4DH43	Immunoglobulin heavy variable 2-70D
A0A0C4DH55	Immunoglobulin kappa variable 3D-7
A0A0C4DH59	T cell receptor beta variable 5-4
A0A0C4DH62	Immunoglobulin heavy joining 1
A0A0C4DH67	Immunoglobulin kappa variable 1-8
A0A0C4DH68	Immunoglobulin kappa variable 2-24
A0A0C4DH69	Immunoglobulin kappa variable 1-9
A0A0C4DH72	Immunoglobulin kappa variable 1-6
A0A0C4DH73	Immunoglobulin kappa variable 1-12
A0A0C5B5G6	Mitochondrial-derived peptide MOTS-c
A0A0D9SF12	Transmembrane protein CCDC163
A0A0G2JMD5	PRAME family member 33
A0A0G2JMI3	Immunoglobulin heavy variable 1-69-2
A0A0G2JS06	Immunoglobulin lambda variable 5-39
A0A0J9YVY3	Immunoglobulin heavy variable 7-4-1
A0A0J9YWL9	Putative testis-expressed protein 13C
A0A0J9YX35	Immunoglobulin heavy variable 3-64D
A0A0J9YX75	T cell receptor beta variable 6-9
A0A0J9YX94	Paraneoplastic antigen Ma6F
A0A0J9YXQ4	Paraneoplastic antigen Ma6E
A0A0J9YXX1	Immunoglobulin heavy variable 5-10-1
A0A0J9YXY3	T cell receptor beta variable 6-2
A0A0K0K1A3	T cell receptor beta variable 10-1
A0A0K0K1A5	T cell receptor beta variable 6-5
A0A0K0K1C0	T cell receptor beta variable 11-1
A0A0K0K1D8	T cell receptor beta variable 6-1
A0A0K0K1E9	T cell receptor beta variable 7-7
A0A0K0K1G6	T cell receptor beta variable 10-3
A0A0K0K1G8	T cell receptor beta variable 10-2
A0A0U1RQE8	Putative glycine N-acyltransferase-like protein 1B
A0A0U1RR37	Uncharacterized protein C1orf232
A0A0U1RRE5	Negative regulator of P-body association
A0A0U1RRK4	LBH domain-containing protein 2
A0A0U1RRL7	Protein MMP24OS
A0A0U1RRN3	Putative transmembrane protein SPTY2D1OS
A0A140G945	Alpha-crystallin A2 chain
A0A183	Late cornified envelope protein 6A
A0A1B0GTC6	Uncharacterized protein C3orf85
A0A1B0GTD5	Testis-expressed protein 49
A0A1B0GTH6	Casein kinase II subunit alpha'-interacting protein
A0A1B0GTI8	Transmembrane protein 272
A0A1B0GTK4	Protein FAM237A
A0A1B0GTK5	Protein FAM236D
A0A1B0GTL2	Uncharacterized protein C20orf204
A0A1B0GTQ4	Protein myomixer
A0A1B0GTR0	Epididymal protein 13
A0A1B0GTR4	Putative small proline-rich protein 5
A0A1B0GTS1	Heat shock transcription factor, X-linked member 4
A0A1B0GTU1	Zinc finger CCCH domain-containing protein 11B
A0A1B0GTU2	Cortexin domain-containing 1
